Kabupaten/Kota,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu
Ogan Komering Ulu,4,3,7,11,15,346
Ogan Komering Ilir,3,–,18,15,23,825
Muara Enim,6,1,7,15,23,410
Lahat,2,–,11,22,14,454
Musi Rawas,2,–,12,7,18,317
Musi Banyuasin,3,–,6,23,40,524
Banyu Asin,6,–,15,18,39,726
Ogan Komering Ulu Selatan,1,–,7,12,7,326
Ogan Komering Ulu Timur,4,–,11,11,37,669
Ogan Ilir,3,–,8,17,10,341
Empat Lawang,2,–,4,6,3,177
Penukal Abab Lematang Ilir,1,–,1,8,2,130
Musi Rawas Utara,1,–,7,1,1,142
Kota Palembang,22,10,–,42,171,936
Kota Prabumulih,4,–,1,8,11,134
Kota Pagar Alam,1,–,3,4,13,132
Kota Lubuklinggau,4,2,–,10,16,104
Sumatera Selatan,69,16,118,230,443,6693
,,,,,,
Keterangan,,,,,,
Puskesmas yang teregistrasi/Registered Public Health Center,,,,,,
