Kabupaten/Kota,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu
Ogan Komering Ulu,4,–,6,12,6,334
Ogan Komering Ilir,3,–,16,16,15,815
Muara Enim,5,–,7,15,22,410
Lahat,2,–,11,22,12,454
Musi Rawas,2,–,12,7,17,174
Musi Banyuasin,3,–,6,22,7,542
Banyu Asin,5,–,13,20,28,421
Ogan Komering Ulu Selatan,1,–,7,12,5,326
Ogan Komering Ulu Timur,4,–,11,11,25,664
Ogan Ilir,3,–,8,17,8,341
Empat Lawang,2,–,4,6,2,182
Penukal Abab Lematang Ilir,1,–,1,6,2,129
Musi Rawas Utara,1,–,7,1,1,143
Kota Palembang,23,4,3,38,88,929
Kota Prabumulih,4,–,1,8,12,134
Kota Pagar Alam,1,–,3,4,7,132
Kota Lubuklinggau,4,–,2,8,9,106
Sumatera Selatan,68,4,118,225,266,6236
