month,group,total
2021-04,NEONATAL,975000.0
2021-04,OBGYN,8255022.0
2021-04,OPERASIONAL_RS,273638223.5
2021-04,PANDEMI_COVID,18121645.46
2021-04,PERAWATAN_LUKA,50017291.91
2021-04,RESPIRATORIUM,288641536.697
2021-04,SPUIT_INJEKSI,95225060.558
2021-04,STERILISASI_CSSD,8322863.5
2021-04,UROLOGI,29580340.0
2021-05,APD_HIGIENE,613245570.795
2021-05,BEDAH_OK,100598870.876
2021-05,CAPITAL_EQUIP,37416093.64
2021-05,DBD,42679703.4
2021-05,DIAGNOSTIK,21568996.36
2021-05,FARMASI,25481492.066
2021-05,IMUNISASI,1622400.0
2021-05,NEONATAL,650000.0
2021-05,OBGYN,4800580.0
2021-05,OPERASIONAL_RS,250254302.376
2021-05,PANDEMI_COVID,81904737.7
2021-05,PERAWATAN_LUKA,42037969.0
2021-05,RESPIRATORIUM,236303824.197
2021-05,SPUIT_INJEKSI,135160869.68
2021-05,STERILISASI_CSSD,6850200.0
2021-05,UROLOGI,17053420.0
2021-06,APD_HIGIENE,654886146.7590001
2021-06,BEDAH_OK,299550610.14100003
2021-06,CAPITAL_EQUIP,17091363.64
2021-06,DBD,150312089.55
2021-06,DIAGNOSTIK,174681608.359
2021-06,FARMASI,4076700.0
2021-06,IMUNISASI,4226178.0
2021-06,OBGYN,7200870.0
2021-06,OPERASIONAL_RS,197253613.29
2021-06,PANDEMI_COVID,309417433.455
2021-06,PERAWATAN_LUKA,126990404.215
2021-06,RESPIRATORIUM,204398785.58
2021-06,SPUIT_INJEKSI,411717690.37
2021-06,STERILISASI_CSSD,45357000.0
2021-06,UROLOGI,15725145.46
2021-07,APD_HIGIENE,840605709.004
2021-07,BEDAH_OK,199640641.312
2021-07,CAPITAL_EQUIP,7393181.821
2021-07,DBD,64817300.933
2021-07,DIAGNOSTIK,149878026.368
2021-07,FARMASI,13158650.14
2021-07,IMUNISASI,5989272.73
2021-07,LABORATORIUM,16368068.275
2021-07,NEONATAL,1252794.0
2021-07,OBGYN,13564250.0
2021-07,OPERASIONAL_RS,378326654.26
2021-07,PANDEMI_COVID,401848309.26
2021-07,PERAWATAN_LUKA,167026316.05
2021-07,RESPIRATORIUM,238957691.914
2021-07,SPUIT_INJEKSI,489144438.1750001
2021-07,STERILISASI_CSSD,25676545.82
2021-07,UROLOGI,74897806.0
2021-08,APD_HIGIENE,570278001.64
2021-08,BEDAH_OK,212326664.24
2021-08,CAPITAL_EQUIP,420000000.0
2021-08,DBD,97774333.28999999
2021-08,DIAGNOSTIK,26838191.0
2021-08,FARMASI,89151430.734
2021-08,LABORATORIUM,89046000.0
2021-08,NEONATAL,179379000.0
2021-08,OPERASIONAL_RS,319656145.9
2021-08,PANDEMI_COVID,1379967454.6
2021-08,PERAWATAN_LUKA,46274965.45
2021-08,RESPIRATORIUM,257306417.06
2021-08,SPUIT_INJEKSI,580433725.66
2021-08,STERILISASI_CSSD,620000.0
2021-08,UROLOGI,44314350.0
2021-09,APD_HIGIENE,663749302.18
2021-09,BEDAH_OK,155400332.419
2021-09,DBD,38285937.38
2021-09,DIAGNOSTIK,78668430.91
2021-09,FARMASI,37972000.0
2021-09,IMUNISASI,6190000.0
2021-09,LABORATORIUM,2216000.0
2021-09,OPERASIONAL_RS,148342942.57599998
2021-09,PANDEMI_COVID,339091048.11
2021-09,PERAWATAN_LUKA,145177767.756
2021-09,RESPIRATORIUM,221046507.05
2021-09,SPUIT_INJEKSI,225940940.83
2021-09,STERILISASI_CSSD,7725954.91
2021-09,UROLOGI,48888195.0
2021-10,APD_HIGIENE,567231700.0
2021-10,BEDAH_OK,160234787.86
2021-10,CAPITAL_EQUIP,16372000.0
2021-10,DBD,183186848.75
2021-10,DIAGNOSTIK,91827230.914
2021-10,FARMASI,74254450.0
2021-10,IMUNISASI,81760345.47
2021-10,NEONATAL,1220000.0
2021-10,OBGYN,10920000.0
2021-10,OPERASIONAL_RS,69166533.637
2021-10,PANDEMI_COVID,436367954.56
2021-10,PERAWATAN_LUKA,34837130.31
2021-10,RESPIRATORIUM,100126911.551
2021-10,SPUIT_INJEKSI,125579613.73
2021-10,STERILISASI_CSSD,11083020.0
2021-10,UROLOGI,25705400.0
2021-11,APD_HIGIENE,155012622.744
2021-11,BEDAH_OK,313393569.277
