barang_nama,total,n,qty
Mask Anaesthesia,483635900.699,31,382
Polypropylene 5/0,476948498.6,45,1092
ECG Red Roll CSO,462191145.182,23,209
Arm Sling Comfort,460731455.8,39,441
H2O2,457127951.12,34,284
Silk 4/0,446500467.143,70,1464
Virus Sampling Tuibe,445340800.0,6,29
Filaprop Mesh,445021497.379,42,517
Povidine ,441628673.7,26,6605
Handscoon Non Steril ,437720961.201,54,3028
Rapit Tes ,429279238.2,54,443
Plastik Obat,428612429.0,16,1115
Pouches Sterilization Gussete,423670792.0,35,104
Urine Bag Premium,423489261.76,69,9030
Litmus Paper,422954156.808,10,277
Plain 0,421713193.524,89,2100
Needle Hecting,418938703.0,8,89
Polypropylene 1,417632306.4,39,1224
Chlorhexidine,412369563.34,20,1190
Shoe Cover,409878616.972,49,62854
Assucryl 6/0 ,403974255.2,10,480
CVC Double Lumen ,403599369.4,16,70
Handscoon sterile,401049216.341,17,1131
Arm Sling ,394619065.43,45,451
Blood Tranfusion Set Type Y,379516263.809,44,8728
First Care Alkohol ,378732964.63699996,12,978
Thoracic Cathetew With Trocar,378655071.744,58,264
Guedel Airway ,377871755.54399997,41,466
Pouches Sterilization Gussete ,375288159.01,16,118
Handscoon Non Sterile,369366336.717,33,1475
Coverall ,354156636.36,5,2131
Plastik Asoy,350022524.0,12,1760
Thermal Blank,346057768.77,96,1389
Transofix,345453134.09000003,31,6750
Paket SC,340200745.957,27,901
Pencil Cauter,338581220.595,29,1655
ECG RED ROLL 50x30x16mm,337975497.661,36,820
Pot Urine ,336840860.828,49,18140
Equiwax,335222181.447,51,1271
Surfloo,327588027.024,13,1315
Intubating Stylet,327382562.686,5,460
Nurse Cap - ,324081057.0,30,1143
N95 Mask ,322853755.836,18,6800
Transparent Wound Dresing ,319085729.918,24,111
Neonatal Nasal Ventilation Double Tube 8Fr,318586268.669,56,192
Long Sleeve,316618931.82,32,619
Plain 4/0,313945127.037,19,708
Sofnolime,313210231.762,53,100
Kassa Gulung ,312617151.421,33,20747
Masker KN95,308879213.904,19,4700
Tiang Infus,306383570.916,9,137
Chromic 0,305925874.36,29,708
Laryngeal Mask Airway ,304645004.21099997,11,52
Vaselin Swab ,304515097.21,31,383
Wing Needle,303926985.5,20,4000
Assucryl 0,303282110.668,24,744
Polypropylene 5/0 ,299099041.12,23,708
Strip Accu-Chek ,293894100.0,21,518
Pouches Sterilization Flat,293472957.28,88,100
Nitril Powder Free Exam Glove,293420000.0,9,600
Mask Nebulize,291940500.459,55,3330
Surgical ,290358115.0,14,2865
Biocide,286343139.09,37,61
Strip Glucose Auto,285601433.83,24,398
Hellige Marquette,284071084.0,31,694
Umbilical Cord Clamp,281329257.897,27,154
Alcohol  Swabs ,279606793.096,22,6323
Single Use Bonnet,278779076.72,7,37
Fingertip Pluse ,273877360.915,13,66
Chromic 2,273872027.737,30,948
Minor ,269021730.0,8,25
Polypropylene 0,268856888.4,19,864
Cathejell,266053785.12,15,1265
Neonatal Nasal Ventilation Double Tube 10Fr,265586228.979,55,194
Assucryl 6/0,265412698.653,26,732
Ultrasound Gel,263392462.32099998,38,255
Electro Surgical ,259490236.857,26,1272
Alkohol Swab ,252515079.705,36,1254
Strip Accu Chek,245838185.97,14,185
FILM DI-HL ,240749297.265,23,38
FILM SHR-U,239456750.0,37,72
Kacamata Face Shield,238724478.72,10,2941
Assucryl,235390738.98,39,864
Modiefied Jeckson Reeves Circuit,233078559.0,19,73
JVA Tech Modified Jackson Rees,232676458.774,24,151
Plastik Asoy ,232355861.0,11,1005
Fuji IX GP 1-1,227853521.0,18,91
Extention Tube,222448240.84,16,884
Ambu Bag,221832254.56,6,28
Mask Anaesthesia ,219367845.818,23,105
IV Catheter Pen ,217018816.718,30,8250
Pouches Flat Reels,215369326.18,28,49
Virusolve,214652034.75,29,85
Underpad ,212547564.406,19,275
IV Catheter With Injetion ,212231649.74,12,2400
Torniquette,209897523.65,7,63
Plastik Obat ,207766216.0,8,359
Wing Infusion ,205313330.22,12,2430
ID Band Blue Adult,204760616.105,43,428
Crutch Tongkat Ketiak,204429579.435,48,208
2 Way Folley Catheter,200205988.271,20,1860
Stethoscope Classic II,197655867.28,8,16
Leukotape K ,194602725.95,8,52
Plester Bulat,194445976.865,15,199
handsanitaizer,193943982.18,16,508
Asoy,191825800.0,7,930
Shoes Cover,190887838.0,11,30200
Surgical Hat ,188584584.44099998,13,280
ECG RED ROLL 50x30,187281884.231,11,257
ID Band Red Adult,185237667.845,41,65
Tensimeter ,185203750.0,7,11
Polypropylene 6/0,184720678.8,14,336
LMA SU,183461000.0,5,57
Ultrafix 15x5,182383480.0,15,526
MOB CAP,177406717.49,25,14165
SHR-U ,176592700.0,16,58
Gussetted Reels,176261149.0,8,34
ECG Paper,174407243.0,13,150
Pouches Sterilization Flat ,173756275.51,37,47
 ID Band Pink Adult,171172987.183,41,477
Condom,168499505.006,11,51
Syiringe ,167256673.391,17,1093
