Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Ogan Komering Ulu,4.5,83.3,9,1.08,0.01,12.13
Ogan Komering Ilir,0.7,89.5,15,5.05,–,9.19
Muara Enim,17.4,76.5,24,5.5,0.01,38.68
Lahat,4.9,70.3,2,1.84,–,48.74
Musi Rawas,6.7,81.7,3,1,–,23.32
Musi Banyuasin,4.4,87.1,13,4.62,–,21.85
Banyu Asin,2.7,75.4,14,3.67,–,28.68
Ogan Komering Ulu Selatan,1.2,85.8,1,5.04,–,8.16
Ogan Komering Ulu Timur,2.8,80.1,17,0.31,–,22.05
Ogan Ilir,1.3,76,9,1.67,–,24.32
Empat Lawang,2.6,76.6,2,0.58,–,15.71
Penukal Abab Lematang Ilir,3,84.6,5,7.1,–,27.88
Musi Rawas Utara,3,56.9,1,1.05,0.01,44.11
Kota Palembang,10.2,89.9,92,1.07,0.01,53.85
Kota Prabumulih,1.5,79.2,4,4.09,–,67.43
Kota Pagar Alam,0.3,60.5,3,–,–,28.22
Kota Lubuklinggau,3.6,91.5,3,1.69,0.01,110.21
Sumatera Selatan,5.9,83.4,217,2.65,–,33.38
,,,,,,
Keterangan,,,,,,
Data kasus AIDS pada publikasi tahun bersangkutan dapat berbeda dengan publikasi tahun sebelumnya dikarenakan terdapat penambahan kasus yang belum terlaporkan/The number of AIDS cases in the publication of the year may be different from the publication of the previous year because there are additional cases that have not been reported,,,,,,
