Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Ogan Komering Ulu,34,65,4,1.9,–,1.36
Ogan Komering Ilir,31,59,4,3,–,4.16
Muara Enim,44,31,16,3.6,–,10.93
Lahat,24,46,4,0.7,–,17.9
Musi Rawas,45,55,2,1.3,–,5.06
Musi Banyuasin,40,54,4,4.3,–,8.04
Banyu Asin,50,63,10,6.3,–,13.74
Ogan Komering Ulu Selatan,16,58,1,4.2,–,2.69
Ogan Komering Ulu Timur,28,38,7,1.4,0.02,23.54
Ogan Ilir,37,66,2,1.2,0.01,12.72
Empat Lawang,16,58,–,0.9,–,12.29
Penukal Abab Lematang Ilir,34,19,2,6.7,–,35.92
Musi Rawas Utara,47,64,2,1.6,–,2.65
Kota Palembang,53,45,53,1.5,–,14.74
Kota Prabumulih,45,22,2,4.1,–,47.62
Kota Pagar Alam,17,58,–,–,–,4.87
Kota Lubuklinggau,27,50,4,–,–,38.86
Sumatera Selatan,40,49,117,2.6,–,13.4
,,,,,,
Keterangan,,,,,,
Data kasus AIDS pada publikasi tahun bersangkutan dapat berbeda dengan publikasi tahun sebelumnya dikarenakan terdapat penambahan kasus yang belum terlaporkan/The number of AIDS cases in the publication of the year may be different from the publication of the previous year because there are additional cases that have not been reported ,,,,,,
