Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Ogan Komering Ulu,1007,1033,6,9,0,45.34
Ogan Komering Ilir,2288,2136,12,25,–,48.53
Muara Enim,1684,1422,21,26,0.01,89.46
Lahat,962,846,9,5,–,41.8
Musi Rawas,699,697,5,5,0.01,39.49
Musi Banyuasin,1469,1180,20,17,0,20.36
Banyu Asin,2092,1813,12,65,0,38.66
Ogan Komering Ulu Selatan,1035,666,7,14,0.01,15.09
Ogan Komering Ulu Timur,1638,1345,23,4,0,66.16
Ogan Ilir,829,881,4,8,–,50.11
Empat Lawang,1161,328,11,–,–,7.01
Penukal Abab Lematang Ilir,376,253,1,13,–,39.5
Musi Rawas Utara,471,388,2,–,–,59.7
Kota Palembang,6706,5390,120,37,0,55.4
Kota Prabumulih,746,503,13,20,–,68.3
Kota Pagar Alam,329,194,5,–,0.01,27.1
Kota Lubuklinggau,1256,722,29,1,0,154.7
Sumatera Selatan,24748,19797,300,249,0.01,49.99
,,,,,,
Keterangan,,,,,,
1 Data kasus AIDS pada publikasi tahun bersangkutan dapat berbeda dengan publikasi tahun sebelumnya dikarenakan terdapat penambahan kasus yang belum terlaporkan/The number of AIDS cases in the publication of the year may be different from the publication of the previous year because there are additional cases that have not been reported ,,,,,,
