Kabupaten/Kota 17,
,Jumlah Penduduk Menurut Kabupaten/Kota (Jiwa)
,2020
Sumatera Selatan,8467432
Ogan Komering Ulu,367603
Ogan Komering Ilir,769348
Muara Enim,612900
Lahat,430071
Musi Rawas,395570
Musi Banyuasin,622206
Banyuasin,836914
Ogan Komering Ulu Selatan,408981
Ogan Komering Ulu Timur,649853
Ogan Ilir,416549
Empat Lawang,333622
Pali,194900
Musi Rawas Utara,188861
Palembang,1668848
Prabumulih,193196
Pagar Alam,143844
Lubuk Linggau,234166
