Kabupaten/Kota,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit Bersalin,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Poliklinik,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas Pembantu,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Apotek
Ogan Komering Ulu,3,–,7,19,43,16
Ogan Komering Ilir,4,–,23,34,87,21
Muara Enim,6,–,16,22,82,14
Lahat,1,–,7,33,46,7
Musi Rawas,1,1,13,21,88,10
Musi Banyuasin,3,–,9,27,109,16
Banyu Asin,5,1,19,35,73,17
Ogan Komering Ulu Selatan,1,–,4,21,27,9
Ogan Komering Ulu Timur,4,–,19,22,57,22
Ogan Ilir,3,–,5,26,15,8
Empat Lawang,2,–,3,9,13,4
Penukal Abab Lematang Ilir,2,–,3,9,25,6
Musi Rawas Utara,1,–,–,8,46,3
Kota Palembang,22,8,47,39,54,73
Kota Prabumulih,4,–,9,9,19,14
Kota Pagar Alam,2,–,4,7,14,7
Kota Lubuklinggau,6,3,9,9,25,21
Sumatera Selatan,70,13,197,350,823,268
,,,,,,
Keterangan,,,,,,
<sup>,,,,,,
1 </sup>Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ <i>Villages in this table include Transmigration Settlement Unit which is still fostered by the relevant ministries and the nagari in the Province of Sumatera Barat ,,,,,,
</i>,,,,,,
