Kabupaten/Kota,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu
Ogan Komering Ulu,4,–,6,12,15,349
Ogan Komering Ilir,3,–,16,16,23,823
Muara Enim,5,–,7,15,23,410
Lahat,2,–,11,22,14,454
Musi Rawas,2,–,12,7,18,317
Musi Banyuasin,3,–,6,23,40,547
Banyu Asin,5,–,15,18,39,749
Ogan Komering Ulu Selatan,1,–,7,12,7,326
Ogan Komering Ulu Timur,4,–,11,11,36,669
Ogan Ilir,3,–,8,17,10,341
Empat Lawang,2,–,4,6,3,178
Penukal Abab Lematang Ilir,1,–,1,7,1,129
Musi Rawas Utara,1,–,7,1,1,142
Kota Palembang,23,4,–,41,171,934
Kota Prabumulih,4,–,1,8,11,136
Kota Pagar Alam,1,–,3,4,13,132
Kota Lubuklinggau,4,–,2,8,16,104
Sumatera Selatan,68,4,117,228,441,6740
,,,,,,
Keterangan,,,,,,
Puskesmas yang teregistrasi/Registered Public Health Center,,,,,,
