Kabupaten/Kota,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu
Ogan Komering Ulu,3,5,7,18,18,360
Ogan Komering Ilir,2,–,17,33,41,823
Muara Enim,7,–,5,24,32,368
Lahat,3,1,11,35,13,456
Musi Rawas,3,–,12,19,20,313
Musi Banyuasin,3,–,6,29,36,514
Banyu Asin,6,–,7,33,43,718
Ogan Komering Ulu Selatan,1,–,7,19,7,323
Ogan Komering Ulu Timur,4,–,11,24,43,654
Ogan Ilir,2,–,8,25,14,342
Empat Lawang,2,–,4,10,7,178
Penukal Abab Lematang Ilir,2,–,1,9,4,125
Musi Rawas Utara,1,–,7,8,3,129
Kota Palembang,24,9,6,42,310,996
Kota Prabumulih,4,–,–,9,21,137
Kota Pagar Alam,1,–,3,7,22,134
Kota Lubuklinggau,4,2,–,10,25,104
Sumatera Selatan,72,17,112,354,659,6674
,,,,,,
Keterangan,,,,,,
Puskesmas yang teregistrasi/Registered Public Health Center,,,,,,
